Model,MAE,RMSE,MAPE,SMAPE
Random Forest,311141.8305990617,8816363.544284467,32.24862123922783,8.25171729984779
Extra Trees,312869.57677847997,8798998.317768268,115.92091754456146,18.475528946483895
Decision Tree,339690.3419495502,8320645.860682745,43.32590041212563,13.695496851736236
XGBoost,298611.2726737538,8700926.864224821,450.36624490330655,84.77535069389089
LightGBM,493097.80482311064,9124125.412440334,2327.325463415236,112.46130129032734
