Region,MAE,RMSE,MAPE,SMAPE,Model
ES,11699.31358815918,23965.49289921925,139.70457901349567,74.45703238579566,XGBoost
MA,135955.44091796875,245081.91047437096,191.40481168487756,100.36138648621554,XGBoost
MG,25487.0302034646,193197.56997724512,902.1378194990629,108.72995956246658,XGBoost
MS,48726.19054350354,131329.78439102494,67.51365870190415,52.47572797430633,XGBoost
PA,6478.520567036946,12021.932377828973,631.1153857998657,84.35233782831251,XGBoost
PB,1442909.706790161,24756402.304454286,1124.3574767934476,138.93226112702894,XGBoost
PE,10726.422582811378,18236.96102874889,146.11271340578358,67.98136957371935,XGBoost
PI,5585.029486010003,9617.871131368474,183.07896431426042,103.19443863410143,XGBoost
PR,106418.50353073215,397132.5376224458,435.845024719598,89.1932706558761,XGBoost
RJ,461262.4199934276,1185893.3966193201,350.78227925140794,73.22067562335126,XGBoost
RN,5713.378580729167,7419.96809707508,154.5578709066267,64.87327983719663,XGBoost
RO,5907.446443615762,11599.49872167828,521.8001779813362,90.55410663970846,XGBoost
RS,52270.01095623008,374915.49824807333,222.14918144589433,60.95098798748675,XGBoost
SC,105178.16561576702,141326.85120003106,29.760749463866613,40.593945764547,XGBoost
SE,10230.397576432852,17562.499904151784,143.99259234733364,68.10655203667196,XGBoost
SP,484452.78421359253,2057024.1404885226,155.93588937874432,60.16163802250312,XGBoost
TO,45238.87582746233,101864.57452720817,93.79040485097401,63.38476957948508,XGBoost
AL,21734.96348590967,48322.46443134708,972.8470538217199,130.45121648865972,LightGBM
BA,711557.7215537074,1612280.2105863225,300.068505797288,96.70740014125334,LightGBM
CE,98022.29926095597,178542.47470884898,26474.930496428708,198.7642997007167,LightGBM
ES,22418.548884905947,33855.527719972444,574.66132601664,98.4514002091473,LightGBM
MA,43054.87572388974,62864.67682596366,99.37978286342232,99.65825323967736,LightGBM
MG,156171.23088114386,1107190.6302529199,3184.4153678044872,140.31853513075438,LightGBM
MS,412164.1408982451,853950.0392279056,440.9174557591688,106.12576649603496,LightGBM
PA,15756.457661696171,23839.707385797916,1941.0643274007537,111.12606798268334,LightGBM
PB,1535480.4738924499,25572867.578211106,7434.390453255884,152.63772027796026,LightGBM
PE,23055.891813433125,71506.970870084,453.55718220364906,77.14608084249494,LightGBM
PI,24731.075733471385,53787.72088899696,717.6427220391715,122.37775505436983,LightGBM
PR,284022.2213256303,1086239.6854922196,1804.6190606318696,110.77104806948086,LightGBM
RJ,783039.3495275192,1935982.009715499,988.0362658121546,114.94817691222757,LightGBM
RN,8487.647254842346,8665.898607424106,164.5290227483483,83.7533506343601,LightGBM
RO,20893.78712349584,74347.70055760353,1387.770650169809,122.86649813796701,LightGBM
RS,184519.10506093325,2058311.1532629444,790.5810246456159,83.73276954009398,LightGBM
SC,418035.4759249944,597388.989541961,71.55469961823658,84.76850501178293,LightGBM
SE,28499.36128843478,59789.81715088426,652.303491363344,99.64041779354008,LightGBM
SP,1152243.902304344,3812831.9492490613,869.0470017451797,99.61535980203266,LightGBM
TO,74483.83384552288,167947.54064194148,153.8669758481482,77.60570726443576,LightGBM
