Feature,Importance
ano,0.0029953952684055015
licitacoes_no_mes,0.003461267545644546
mes,0.006964920257241373
uf,0.015505165804980785
cid10,0.05593426626140583
preco_medio_mensal,0.11130906651605986
codigo_br,0.21739448165414946
quantidade_total,0.5864354366921127
