Feature,Importance
mes,0.008876370388742214
ano,0.015527948164612608
uf,0.0178159082832284
codigo_br,0.05580831174958698
licitacoes_no_mes,0.06995063935506675
cid10,0.08146661503171146
preco_medio_mensal,0.18578335589757183
quantidade_total,0.5647708511294798
