Column,Data Type,Unique Values,Missing Percentage,Mean,Std,Min,Max
ano,Int64,8,0.0,2020.6153925195233,2.1252323319429562,2018.0,2025.0
mes,Int64,12,0.0,5.97467118783395,3.3229355512835297,1.0,12.0
uf,int64,25,0.0,10.93922112618167,5.1515844464200455,0.0,24.0
codigo_br,int64,441,0.0,168.0577990135635,113.44338921890757,0.0,440.0
cid10,int64,36,0.0,6.519882860665844,6.3911301817358295,0.0,35.0
quantidade_total,float64,4865,0.0,488375.90664817096,6638964.585495788,1.0,624991517.0
gasto_total_mensal,float64,12619,0.0,368274.431333282,7305430.029829772,0.4,542500490.0
preco_medio_mensal,float64,7658,0.0,212.62018328909656,1888.83765128765,0.0003,93183.93
licitacoes_no_mes,int64,18,0.0,1.694153308672421,1.4117826604525674,1.0,18.0
